trade_date,start_close,natural_days_to_5pct_high_low_move,breach_date,breach_side,breach_high,breach_low,upper_bound,lower_bound
2016-12-22,8607.95,26,2017-01-16,down,8263.98,7715.43,9038.35,8177.55
2016-12-23,8509.36,25,2017-01-16,down,8263.98,7715.43,8934.83,8083.89
2016-12-26,8547.10,22,2017-01-16,down,8263.98,7715.43,8974.45,8119.74
2016-12-27,8555.99,21,2017-01-16,down,8263.98,7715.43,8983.79,8128.19
2016-12-28,8521.38,20,2017-01-16,down,8263.98,7715.43,8947.45,8095.31
2016-12-29,8488.30,19,2017-01-16,down,8263.98,7715.43,8912.72,8063.88
2016-12-30,8490.86,18,2017-01-16,down,8263.98,7715.43,8915.40,8066.32
2017-01-03,8565.14,14,2017-01-16,down,8263.98,7715.43,8993.40,8136.88
2017-01-04,8669.95,13,2017-01-16,down,8263.98,7715.43,9103.45,8236.45
2017-01-05,8670.76,12,2017-01-16,down,8263.98,7715.43,9104.30,8237.22
2017-01-06,8609.90,11,2017-01-16,down,8263.98,7715.43,9040.40,8179.40
2017-01-09,8653.85,8,2017-01-16,down,8263.98,7715.43,9086.54,8221.16
2017-01-10,8609.55,7,2017-01-16,down,8263.98,7715.43,9040.03,8179.07
2017-01-11,8519.85,6,2017-01-16,down,8263.98,7715.43,8945.84,8093.86
2017-01-12,8443.26,5,2017-01-16,down,8263.98,7715.43,8865.42,8021.10
2017-01-13,8286.24,4,2017-01-16,down,8263.98,7715.43,8700.55,7871.93
2017-01-16,7931.96,24,2017-02-08,up,8342.52,8226.58,8328.56,7535.36
2017-01-17,8028.65,28,2017-02-13,up,8433.32,8363.25,8430.08,7627.22
2017-01-18,7989.14,23,2017-02-09,up,8411.14,8330.80,8388.60,7589.68
2017-01-19,7955.39,22,2017-02-09,up,8411.14,8330.80,8353.16,7557.62
2017-01-20,8087.77,34,2017-02-22,up,8510.42,8457.63,8492.16,7683.38
2017-01-23,8169.11,43,2017-03-06,up,8608.40,8513.21,8577.57,7760.65
2017-01-24,8123.59,32,2017-02-24,up,8544.32,8487.50,8529.77,7717.41
2017-01-25,8150.60,41,2017-03-06,up,8608.40,8513.21,8558.13,7743.07
2017-01-26,8205.87,41,2017-03-07,up,8625.52,8574.29,8616.16,7795.58
2017-02-03,8182.28,32,2017-03-06,up,8608.40,8513.21,8591.39,7773.17
2017-02-06,8280.01,40,2017-03-17,up,8704.85,8601.57,8694.01,7866.01
2017-02-07,8282.37,39,2017-03-17,up,8704.85,8601.57,8696.49,7868.25
2017-02-08,8342.43,72,2017-04-20,down,8059.11,7925.30,8759.55,7925.31
2017-02-09,8410.26,70,2017-04-19,down,8101.80,7939.29,8830.77,7989.75
2017-02-10,8380.79,69,2017-04-19,down,8101.80,7939.29,8799.83,7961.75
2017-02-13,8432.96,66,2017-04-19,down,8101.80,7939.29,8854.61,8011.31
