日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2017-09-04,09:30:00,股票,光韵达(300227.XSHE),卖,市价单,-50000股,23.56,-1178000,-50000股,-,92000,1531.4,全部成交,2017-09-04 09:30:00
2017-09-04,09:30:00,股票,世名科技(300522.XSHE),卖,市价单,-45700股,28.52,-1303364,-45700股,-,49356,1694.37,全部成交,2017-09-04 09:30:00
2017-09-04,09:30:00,股票,弘业股份(600128.XSHG),买,市价单,113200股,10.96,1240672,113200股,-,0,372.2,全部成交,2017-09-04 09:30:00
2017-09-04,09:30:00,股票,浩物股份(000757.XSHE),买,市价单,170000股,7.3,1241000,170000股,-,0,372.3,全部成交,2017-09-04 09:30:00
2017-10-09,09:30:00,股票,浩物股份(000757.XSHE),卖,市价单,-170000股,7.42,-1261400,-170000股,-,20400,1639.82,全部成交,2017-10-09 09:30:00
2017-10-09,09:30:00,股票,共达电声(002655.XSHE),买,市价单,141700股,8.88,1258296,141700股,-,0,377.49,全部成交,2017-10-09 09:30:00
2017-10-16,09:30:00,股票,共达电声(002655.XSHE),卖,市价单,-141700股,9.48,-1343316,-141700股,-,85020,1746.31,全部成交,2017-10-16 09:30:00
2017-10-16,09:30:00,股票,全柴动力(600218.XSHG),买,市价单,147200股,9.1,1339520,147200股,-,0,401.86,全部成交,2017-10-16 09:30:00
2017-10-23,09:30:00,股票,全柴动力(600218.XSHG),卖,市价单,-147200股,8.7,-1280640,-147200股,-,-58880,1664.83,全部成交,2017-10-23 09:30:00
2017-10-23,09:30:00,股票,浩物股份(000757.XSHE),买,市价单,183600股,6.98,1281528,183600股,-,0,384.46,全部成交,2017-10-23 09:30:00
2017-10-30,09:30:00,股票,新农开发(600359.XSHG),卖,市价单,-132200股,7.76,-1025872,-132200股,-,47592,1333.63,全部成交,2017-10-30 09:30:00
