日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2023-04-03,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-37200股,4.27,-158844,-37200股,-,7849.2,23.83,全部成交,2023-04-03 09:30:00
2023-04-03,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,173000股,0.919,158987,173000股,-,0,23.85,全部成交,2023-04-03 09:30:00
2023-04-07,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-173000股,0.915,-158295,-173000股,-,-692,23.74,全部成交,2023-04-07 09:30:00
2023-04-07,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,36500股,4.324,157826,36500股,-,0,23.67,全部成交,2023-04-07 09:30:00
2023-04-17,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-36500股,4.297,-156840.5,-36500股,-,-985.5,23.53,全部成交,2023-04-17 09:30:00
2023-04-17,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,171800股,0.915,157197,171800股,-,0,23.58,全部成交,2023-04-17 09:30:00
2023-04-27,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-171800股,0.905,-155479,-171800股,-,-1718,23.32,全部成交,2023-04-27 09:30:00
2023-04-27,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,35900股,4.322,155159.8,35900股,-,0,23.27,全部成交,2023-04-27 09:30:00
2023-04-28,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-35900股,4.3,-154370,-35900股,-,-789.8,23.16,全部成交,2023-04-28 09:30:00
2023-04-28,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,167800股,0.921,154543.8,167800股,-,0,23.18,全部成交,2023-04-28 09:30:00
2023-05-05,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-167800股,0.915,-153537,-167800股,-,-1006.8,23.03,全部成交,2023-05-05 09:30:00
2023-05-05,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,34700股,4.416,153235.2,34700股,-,0,22.99,全部成交,2023-05-05 09:30:00
2023-05-15,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-34700股,4.382,-152055.4,-34700股,-,-1179.8,22.81,全部成交,2023-05-15 09:30:00
2023-05-15,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,161500股,0.943,152294.5,161500股,-,0,22.84,全部成交,2023-05-15 09:30:00
2023-07-27,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-161500股,1.131,-182656.5,-161500股,-,30362,27.4,全部成交,2023-07-27 09:30:00
2023-07-27,09:30:00,基金,50ETF(510050.XSHG),买,市价单,68700股,2.656,182467.2,68700股,-,0,27.37,全部成交,2023-07-27 09:30:00
2023-07-28,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-68700股,2.637,-181161.9,-68700股,-,-1305.3,27.17,全部成交,2023-07-28 09:30:00
