"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2016年12月19日","1,980.41","1,995.00","1,995.00","1,976.77","629.15M","-0.89%"
"2016年12月16日","1,998.11","1,977.86","2,005.28","1,972.22","773.15M","1.13%"
"2016年12月15日","1,975.85","1,957.71","1,991.32","1,956.55","883.54M","0.65%"
"2016年12月14日","1,963.08","1,982.98","1,988.46","1,958.04","841.43M","-1.11%"
"2016年12月13日","1,985.04","1,982.08","1,995.35","1,961.91","978.40M","0.03%"
"2016年12月12日","1,984.39","2,095.58","2,096.40","1,981.17","1.61B","-5.50%"
"2016年12月9日","2,099.89","2,114.45","2,118.63","2,097.09","1.02B","-0.70%"
"2016年12月8日","2,114.71","2,135.79","2,136.26","2,114.04","925.07M","-0.95%"
"2016年12月7日","2,134.99","2,123.55","2,134.99","2,116.54","829.42M","0.60%"
"2016年12月6日","2,122.26","2,149.75","2,156.69","2,121.25","973.37M","-1.01%"
"2016年12月5日","2,143.88","2,129.24","2,162.30","2,124.75","1.03B","0.02%"
"2016年12月2日","2,143.45","2,180.39","2,186.69","2,143.21","1.31B","-1.76%"
"2016年12月1日","2,181.93","2,181.73","2,188.09","2,175.50","1.22B","-0.05%"
"2016年11月30日","2,183.05","2,157.54","2,201.55","2,155.24","1.78B","1.05%"
"2016年11月29日","2,160.35","2,161.78","2,178.19","2,153.72","1.46B","-0.26%"
"2016年11月28日","2,166.05","2,172.97","2,175.51","2,159.73","1.18B","-0.07%"
"2016年11月25日","2,167.53","2,145.97","2,167.53","2,123.74","1.36B","0.97%"
"2016年11月24日","2,146.63","2,159.61","2,172.18","2,142.95","1.05B","-0.88%"
"2016年11月23日","2,165.71","2,182.10","2,191.26","2,163.00","1.51B","-0.55%"
"2016年11月22日","2,177.65","2,156.52","2,177.65","2,146.62","1.11B","1.16%"
"2016年11月21日","2,152.60","2,156.46","2,162.37","2,147.05","847.53M","-0.25%"
"2016年11月18日","2,157.96","2,164.71","2,170.79","2,155.23","775.65M","-0.23%"
"2016年11月17日","2,163.04","2,176.12","2,176.12","2,157.54","934.49M","-0.89%"
"2016年11月16日","2,182.47","2,187.50","2,208.98","2,182.12","1.57B","0.15%"
"2016年11月15日","2,179.30","2,161.57","2,179.30","2,152.38","1.36B","0.81%"
"2016年11月14日","2,161.69","2,146.83","2,175.25","2,146.83","1.38B","0.68%"
"2016年11月11日","2,147.11","2,143.58","2,147.11","2,125.49","1.23B","0.18%"
"2016年11月10日","2,143.32","2,143.56","2,149.09","2,138.94","900.56M","0.92%"
"2016年11月9日","2,123.84","2,150.62","2,154.85","2,098.56","1.12B","-1.23%"
"2016年11月8日","2,150.30","2,138.45","2,154.57","2,136.25","890.87M","0.94%"
"2016年11月7日","2,130.30","2,141.30","2,145.82","2,126.95","929.12M","-0.70%"
"2016年11月4日","2,145.23","2,151.92","2,168.34","2,142.41","1.06B","-0.37%"
"2016年11月3日","2,153.18","2,137.13","2,167.93","2,135.28","1.14B","0.32%"
"2016年11月2日","2,146.40","2,170.81","2,171.66","2,145.07","1.11B","-1.38%"
"2016年11月1日","2,176.45","2,160.39","2,177.83","2,159.71","876.48M","0.77%"
"2016年10月31日","2,159.76","2,158.57","2,162.67","2,145.57","900.51M","-0.26%"
"2016年10月28日","2,165.43","2,182.56","2,192.90","2,165.03","1.05B","-0.78%"
"2016年10月27日","2,182.48","2,182.91","2,184.32","2,171.24","934.14M","-0.09%"
