trade_date,open,high,low,close
2024-02-29,769.56,807.71,769.56,807.71
2024-03-01,809.40,818.11,803.53,815.49
2024-03-04,819.96,822.65,807.39,818.51
2024-03-05,812.62,824.12,810.32,817.77
2024-03-06,816.14,822.79,803.99,811.90
2024-03-07,814.17,817.78,793.59,794.24
2024-03-08,795.32,805.57,791.73,803.20
2024-03-11,800.90,818.71,797.26,818.44
2024-03-12,818.52,827.63,813.05,817.75
2024-03-13,821.32,824.81,813.09,814.93
2024-03-14,811.51,815.55,797.78,804.86
2024-03-15,802.91,809.40,794.75,808.67
2024-03-18,810.39,825.90,809.83,825.40
2024-03-19,822.18,823.90,811.77,811.77
2024-03-20,810.69,815.73,806.58,814.03
2024-03-21,820.14,824.18,805.55,806.14
2024-03-22,804.02,808.71,793.10,794.20
2024-03-25,792.85,797.66,781.62,781.65
2024-03-26,781.73,787.60,768.68,772.09
2024-03-27,771.54,772.47,752.72,752.82
2024-03-28,753.90,771.48,753.23,763.27
2024-03-29,761.65,763.56,751.24,762.74
2024-04-01,765.63,776.74,765.63,775.53
2024-04-02,774.73,774.73,764.32,768.79
2024-04-03,768.21,769.23,755.21,756.76
2024-04-08,753.83,757.13,740.67,740.67
2024-04-09,739.39,749.86,736.89,749.63
2024-04-10,749.22,749.58,732.47,735.73
2024-04-11,735.67,746.91,735.67,738.67
2024-04-12,742.93,747.50,738.33,738.43
2024-04-15,739.20,755.18,738.54,750.90
2024-04-16,746.88,749.12,732.89,733.15
2024-04-17,737.66,751.20,735.21,750.89
2024-04-18,747.13,757.75,741.20,745.69
2024-04-19,741.29,741.92,729.57,730.56
2024-04-22,723.41,735.97,719.12,731.81
2024-04-23,732.87,736.36,724.90,727.85
2024-04-24,731.71,739.01,728.38,738.63
2024-04-25,735.56,740.47,730.61,733.34
2024-04-26,733.02,753.15,733.02,752.25
2024-04-29,752.92,780.20,752.62,776.15
2024-04-30,773.84,775.92,765.60,767.46
2024-05-06,778.99,785.07,774.04,777.66
2024-05-07,776.82,779.59,768.40,769.79
2024-05-08,769.69,769.70,760.57,761.66
2024-05-09,762.40,779.48,762.40,778.87
2024-05-10,778.15,778.56,764.44,767.17
2024-05-13,760.10,769.21,757.96,763.69
2024-05-14,766.65,769.42,759.43,760.30
2024-05-15,758.80,760.08,749.22,749.47
2024-05-16,753.45,755.17,745.02,746.47
2024-05-17,743.79,754.56,741.86,754.42
2024-05-20,752.20,761.17,749.81,753.54
2024-05-21,752.29,755.46,747.31,748.24
2024-05-22,749.91,756.70,743.68,754.97
2024-05-23,754.40,755.40,741.41,742.40
2024-05-24,741.68,746.40,726.87,727.21
